"","month","counterparty_name","region","factory","deal_type","volume","price","market_price","market_price_prev","inflation","inp_1","inp_2"
"61","2019-01-01 00:00:00","563","8","1","4","5.868623","137.74","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"62","2019-01-01 00:00:00","566","0","3","3","8.391941","175.69000066135","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"63","2019-01-01 00:00:00","566","0","5","3","0.793291","168.34","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"64","2019-01-01 00:00:00","566","0","6","3","2.065253","145.90986723835","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"65","2019-01-01 00:00:00","573","36","8","2","0.345811","177.112","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"66","2019-01-01 00:00:00","587","30","1","3","25.188281","145.36385084556","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"67","2019-01-01 00:00:00","593","21","1","3","64.715021","147.42801126465","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"68","2019-02-01 00:00:00","7","21","1","3","6.885353","138.76","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"69","2019-02-01 00:00:00","8","2","4","7","14.859011","153.04","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"70","2019-02-01 00:00:00","8","2","6","7","27.2184106","140.8","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"71","2019-02-01 00:00:00","8","2","8","7","151.3925386","162.03705295452","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"72","2019-02-01 00:00:00","9","25","8","4","17.7885596","160.18","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"73","2019-02-01 00:00:00","13","21","1","3","31.711684","146.41249643885","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"74","2019-02-01 00:00:00","31","15","4","3","68.383781","151.72729072878","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"75","2019-02-01 00:00:00","51","42","6","3","1.9534502","142.33","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"76","2019-02-01 00:00:00","57","6","3","4","29.697735","168.68018248058","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"77","2019-02-01 00:00:00","59","36","8","5","0.133456","174.60345546098","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"78","2019-02-01 00:00:00","97","21","1","3","17.345297","144.88","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"79","2019-02-01 00:00:00","129","41","6","4","29.6908762","143.85801773711","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"80","2019-02-01 00:00:00","130","8","1","3","2.496089","140.8","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
"81","2019-02-01 00:00:00","144","28","4","3","19.49726","164.77","144.6352","152.10976","0.4392","9.5504961514286","8.7175025614286"
