,symbol,year,EV,Market Cap,FCF,EBITDA,CapitalExpenditure,EnterprisesValueEBITDARatio,DilutedEPS,TotalRevenue,TotalAssets,TotalDebt,NetIncome,OperatingExpense,GrossProfit,deal
729,AXGN,2021,368539221.0,391075221.0,-41805000.0,-20888000.0,-28400000.0,-17.643586,-0.65,127358000.0,208024000.0,67453000.0,-26985000.0,129843000.0,104427000.0,0
730,AXGN,2022,436561168.0,422020168.0,-37319000.0,-23471000.0,-21253000.0,-18.600024,-0.69,138584000.0,195387000.0,67427000.0,-28948000.0,144144000.0,114437000.0,0
731,AXGN,2023,328800828.0,293987828.0,-20634000.0,-13328000.0,-14918000.0,-24.66993,-0.51,159012000.0,196827000.0,69292000.0,-21716000.0,149336000.0,127874000.0,0
732,AXL,2020,3989522000.0,944922000.0,239000000.0,123900000.0,-215700000.0,32.199532,-4.96,4710800000.0,5916300000.0,3572000000.0,-561300000.0,400500000.0,582700000.0,0
733,AXL,2021,3803620000.0,1063620000.0,357200000.0,740700000.0,-181200000.0,4.4633,0.05,5156600000.0,5635700000.0,3229000000.0,5900000.0,430000000.0,722700000.0,0
734,AXL,2022,3529614070.0,895814070.0,273500000.0,732900000.0,-175400000.0,5.295,0.53,5802400000.0,5469400000.0,3029300000.0,64300000.0,430800000.0,704900000.0,0
735,AXL,2023,3389307832.0,1031307832.0,199400000.0,664400000.0,-196700000.0,4.9021,-0.29,6079500000.0,5356300000.0,2886300000.0,-33600000.0,452500000.0,624300000.0,0
736,AXSM,2020,2890532765.0,3044866949.0,-78502460.0,-100257044.0,-45891.0,-28.831219,-2.77,0.0,186134323.0,50124143.0,-102900600.0,99087750.0,0.0,0
737,AXSM,2021,1364149409.0,1428718477.0,-108534000.0,-124631000.0,-308000.0,-10.945506,-3.47,0.0,87785058.0,49710197.0,-130403000.0,124707000.0,0.0,0
738,AXSM,2022,3216269692.0,3349459875.0,-117213000.0,-175397000.0,-702000.0,-18.337085,-4.6,50037000.0,331476000.0,94684000.0,-187134000.0,221340000.0,44839000.0,0
739,AXSM,2023,3535173745.0,3766162745.0,-145662000.0,-224991000.0,-582000.0,-15.712512,-5.27,270600000.0,588236000.0,186372000.0,-239238000.0,427442000.0,244535000.0,0
740,AXTA,2020,9421840000.0,6703540000.0,427200000.0,592400000.0,-82100000.0,16.2446,0.52,3737600000.0,7157200000.0,3921500000.0,121600000.0,974200000.0,1279700000.0,0
741,AXTA,2021,10746288000.0,7531488000.0,437000000.0,791200000.0,-121600000.0,13.0941,1.14,4416200000.0,7217200000.0,3856800000.0,263900000.0,966500000.0,1428900000.0,0
742,AXTA,2022,8831509574.0,5618909574.0,142900000.0,700200000.0,-150900000.0,12.4668,0.86,4884400000.0,7059200000.0,3732700000.0,191600000.0,995600000.0,1418800000.0,0
743,AXTA,2023,10413020834.0,7476220834.0,437400000.0,843600000.0,-137900000.0,13.2246,1.21,5184100000.0,7272100000.0,3535400000.0,267400000.0,1031000000.0,1618500000.0,0
744,AXTI,2020,384483190.0,401624190.0,-13990000.0,11584000.0,-19855000.0,88.3869,0.07,95361000.0,298862000.0,13230000.0,3238000.0,22535000.0,30275000.0,0
745,AXTI,2021,348792660.0,377825660.0,-32950000.0,24893000.0,-29645000.0,14.5865,0.34,137393000.0,332441000.0,16539000.0,14575000.0,33392000.0,47414000.0,0
746,AXTI,2022,199048821.0,190763821.0,-37230000.0,30117000.0,-28465000.0,7.1768,0.37,141118000.0,370072000.0,48885000.0,15811000.0,37857000.0,52121000.0,0
747,AXTI,2023,124142351.0,104746351.0,-7072000.0,-8784000.0,-10475000.0,-14.132781,-0.42,75795000.0,358701000.0,55730000.0,-17881000.0,32330000.0,13318000.0,0
748,AY,2020,9307770338.0,4051359338.0,433837000.0,766592000.0,-4384000.0,11.9729,0.12,1013260000.0,9938354000.0,6231339000.0,11968000.0,534131000.0,866669000.0,0
749,AY,2021,8929471314.0,4019530314.0,479379000.0,767301000.0,-26244000.0,12.0545,-0.27,1211749000.0,9751930000.0,6118483000.0,-30080000.0,606297000.0,946262000.0,0
750,AY,2022,7617340763.0,3005827763.0,510431000.0,753905000.0,-75891000.0,9.9612,-0.05,1102029000.0,9100911000.0,5633328000.0,-5443000.0,626705000.0,882672000.0,0
751,AY,2023,7381792661.0,2497419661.0,303839000.0,805856000.0,-84209000.0,9.6161,0.37,1099894000.0,8714333000.0,5486464000.0,43380000.0,589976000.0,896250000.0,0
752,AYRO,2020,138176668.0,164698590.0,-10538064.0,-9877106.0,-518720.0,-13.98959,-5.84,1604069.0,41961430.0,1147541.0,-10763446.0,9939765.0,-166483.0,0
753,AYRO,2021,-16614443.0,59355792.0,-27231848.0,-32343143.0,-600363.0,0.513693,-7.52,2683597.0,78127764.0,1065969.0,-33079414.0,31037683.0,-2091187.0,0
754,AYRO,2022,-40154662.0,14167749.0,-20374378.0,-22321217.0,-1645735.0,1.798946,-4.95,2990497.0,54990084.0,859543.0,-22935353.0,20223897.0,-3053009.0,0
755,AYRO,2023,-20638836.0,8606641.0,-28365005.0,-26915439.0,-2183540.0,0.766803,-8.19,498917.0,52863778.0,699513.0,-34160455.0,23521349.0,-4635079.0,0
756,AZ,2020,44915729.0,49994729.0,-1236000.0,-5710000.0,-233000.0,-7.865851,-1.075,1068000.0,8852000.0,1045000.0,-5953000.0,2891000.0,215000.0,0
757,AZ,2021,278527859.0,285115859.0,-9790000.0,-39813000.0,-412000.0,-6.356005,-4.2,2685000.0,14131000.0,918000.0,-39163000.0,9818000.0,656000.0,0
758,AZ,2022,39559406.0,38608406.0,-10158000.0,-17464000.0,-727000.0,-2.494365,-1.5,9351000.0,12694000.0,2630000.0,-16557000.0,19312000.0,1834000.0,0
759,AZ,2023,52875232.0,52607232.0,-11561000.0,-16883000.0,-174000.0,-3.10971,-1.15,11375000.0,8519000.0,1994000.0,-16061000.0,19976000.0,1993000.0,0
