,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ATNF,0,0,0,0,0,0,0,0,0,0
ATNFW,0,0,0,0,0,0,0,0,0,0
ATNI,0,0,0,0,0,0,0,0,0,0
ATNM,0,0,0,0,0,0,0,0,0,0
ATO,0,0,0,0,0,0,0,0,0,0
ATOM,0,0,0,0,0,0,0,0,0,0
ATOS,0,0,0,0,0,0,0,0,0,0
ATPC,0,0,0,0,0,0,0,0,0,0
ATR,0,0,0,0,0,0,0,0,0,0
ATRA,0,0,0,0,0,0,0,0,0,0
ATRC,0,0,0,0,0,0,0,0,0,0
ATRO,0,0,0,1,0,0,0,0,0,1
ATS,0,0,0,0,0,1,0,0,0,0
ATSG,0,0,1,0,0,0,0,0,0,0
ATUS,0,0,0,0,0,0,0,0,0,0
ATXG,0,0,0,0,0,0,0,0,0,0
ATXI,0,0,0,0,0,0,0,0,0,0
ATXS,0,0,0,0,0,0,0,0,0,0
ATYR,0,0,0,0,0,0,0,0,0,0
AU,0,0,1,0,0,0,0,0,1,0
AUB,0,0,0,0,0,0,0,0,0,0
AUBN,0,0,0,0,0,0,0,0,0,0
AUB^A,0,0,0,0,0,0,0,0,0,0
AUDC,0,0,0,0,0,0,0,0,0,0
AUID,0,0,0,0,0,0,0,0,0,0
AUMN,0,0,0,0,0,0,0,0,0,0
AUNA,0,0,0,0,0,0,0,0,0,0
AUPH,0,0,0,0,0,0,0,0,0,0
AUR,0,0,0,0,0,0,0,0,0,0
AURA,0,0,0,0,0,0,0,0,0,0
AUROW,0,0,0,0,0,0,0,0,0,0
AUST,0,0,0,0,0,0,0,0,0,0
AUTL,0,0,0,0,0,0,0,0,0,0
AUUD,0,0,0,0,0,0,0,0,0,0
AUUDW,0,0,0,0,0,0,0,0,0,0
AVA,0,0,0,0,0,0,0,0,0,0
AVAH,0,0,0,0,0,0,0,0,0,0
AVAL,0,0,0,0,0,0,0,0,0,0
AVAV,0,0,0,0,0,0,0,0,0,0
AVB,0,0,0,0,0,0,0,0,0,0
AVBP,0,0,0,0,0,0,0,0,0,0
AVD,0,0,0,0,0,0,0,0,0,0
AVDL,0,0,0,0,0,0,0,0,0,0
AVDX,0,0,0,0,0,0,0,0,0,0
AVGO,0,0,0,0,0,0,0,0,0,0
AVGR,0,0,0,0,0,0,0,0,0,0
AVIR,0,0,0,0,0,0,0,0,0,0
AVK,0,0,0,0,0,0,0,0,0,0
AVNS,0,0,1,0,0,0,0,0,0,0
AVNT,0,0,0,0,0,0,0,0,0,0
AVNW,0,0,0,0,0,0,0,0,0,0
AVO,0,0,0,0,0,0,0,0,0,0
AVPT,0,0,0,0,0,0,1,0,0,0
AVPTW,0,0,0,0,0,0,1,0,0,0
AVT,0,0,0,0,0,0,0,0,0,0
AVTE,0,0,0,0,0,0,0,0,0,0
AVTR,0,0,0,0,0,0,0,0,0,0
AVTX,0,0,0,0,1,0,0,0,0,0
AVXL,0,0,0,0,0,0,0,0,0,0
AVY,0,0,1,0,0,0,0,0,0,0
AWF,0,0,0,0,0,0,0,0,0,0
AWH,0,0,0,0,0,0,0,0,0,0
AWI,0,0,1,0,0,0,0,0,0,0
AWK,0,0,0,0,0,0,0,0,0,0
AWP,0,0,0,0,0,0,0,0,0,0
AWR,0,0,0,0,0,0,0,0,0,0
AWRE,0,0,0,0,0,0,0,0,0,0
AWX,0,0,0,0,0,0,0,0,0,0
AX,0,0,0,0,0,0,0,0,0,0
AXDX,0,0,0,0,0,0,0,0,0,0
AXGN,0,0,0,0,0,0,0,0,0,0
AXIL,0,0,0,0,0,0,0,0,0,0
AXL,0,0,0,0,0,0,0,0,0,0
AXON,0,0,0,0,0,0,0,0,0,0
AXP,0,0,1,0,0,0,0,0,0,0
AXR,0,0,0,0,0,0,0,0,0,0
AXS,0,0,0,0,0,0,0,0,0,0
AXSM,0,0,0,0,0,0,0,0,0,0
AXS^E,0,0,0,0,0,0,0,0,0,0
AXTA,0,0,0,0,0,0,0,0,0,0
AXTI,0,0,0,0,0,0,0,0,0,0
AY,0,0,0,0,0,0,0,0,0,0
AYI,0,0,0,0,0,0,0,0,0,0
AYRO,0,0,0,0,0,0,0,0,0,0
AYTU,0,0,0,0,1,1,0,0,0,0
AZ,0,0,0,0,0,0,0,0,0,0
AZEK,0,0,0,0,0,0,0,0,0,0
AZI,0,0,0,0,0,0,0,0,0,0
AZN,0,0,1,1,0,1,1,0,1,1
AZO,0,0,0,0,0,0,0,0,0,0
AZPN,0,0,0,0,0,0,0,0,0,0
AZTA,0,0,1,1,0,0,0,0,0,0
AZTR,0,0,0,0,0,0,0,0,0,0
AZUL,0,0,0,0,0,0,0,0,0,0
AZZ,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,1
BA,0,1,1,1,1,1,1,0,1,1
BABA,0,1,0,0,0,1,1,0,0,0
BAC,0,0,1,0,1,0,1,0,0,0
BACK,0,0,0,0,0,0,0,0,0,0
BACQ,0,0,0,0,0,0,0,0,0,0
BACQR,0,0,0,0,0,0,0,0,0,0
BACQU,0,0,0,0,0,0,0,0,0,0
BAC^B,0,0,0,0,0,0,0,0,0,0
BAC^E,0,0,0,0,0,0,0,0,0,0
BAC^K,0,0,0,0,0,0,0,0,0,0
BAC^L,0,0,0,0,0,0,0,0,0,0
BAC^M,0,0,0,0,0,0,0,0,0,0
BAC^N,0,0,0,0,0,0,0,0,0,0
BAC^O,0,0,0,0,0,0,0,0,0,0
BAC^P,0,0,0,0,0,0,0,0,0,0
BAC^Q,0,0,0,0,0,0,0,0,0,0
BAC^S,0,0,0,0,0,0,0,0,0,0
BAER,0,0,0,0,0,0,0,0,0,0
BAERW,0,0,0,0,0,0,0,0,0,0
BAFN,0,0,0,0,0,0,0,0,0,0
BAH,0,0,0,0,0,0,0,0,0,0
BAK,0,0,0,0,0,0,0,0,0,0
BALL,0,0,0,0,0,0,0,0,0,0
BALY,0,0,0,0,0,0,0,0,0,0
BAM,0,0,0,0,0,0,0,1,0,0
BANC,0,0,0,0,0,0,1,0,0,0
BANC^F,0,0,0,0,0,0,0,0,0,0
BAND,0,0,0,0,0,0,0,0,0,0
BANF,0,0,0,0,0,0,0,0,0,0
BANFP,0,0,0,0,0,0,0,0,0,0
BANL,0,0,0,0,0,0,0,0,0,0
BANR,0,0,0,0,1,0,0,0,0,0
BANX,0,0,0,0,0,0,0,0,0,0
BAOS,0,0,0,0,0,0,0,0,0,0
BAP,0,0,0,0,0,0,0,0,0,0
BARK,0,0,0,0,0,0,0,0,0,0
BASE,0,0,0,0,0,0,0,0,0,0
BATL,0,0,0,0,0,0,0,0,0,0
BATRA,0,0,0,0,0,0,0,0,0,0
BATRK,0,0,0,0,0,0,0,0,0,0
BAX,0,0,0,1,1,0,0,0,0,0
BAYA,0,0,0,0,0,0,0,0,0,0
BAYAR,0,0,0,0,0,0,0,0,0,0
BA^A,0,0,0,0,0,0,0,0,0,0
BB,0,0,0,0,0,0,0,0,0,0
BBAI,0,0,0,0,0,0,0,0,0,0
BBAR,0,0,0,0,0,0,0,0,0,0
BBCP,0,0,0,0,0,0,0,0,0,0
BBD,0,0,0,0,0,0,0,0,0,0
BBDC,0,0,0,0,0,0,0,0,0,0
BBDO,0,0,0,0,0,0,0,0,0,0
BBGI,0,0,0,0,0,0,0,0,0,0
BBIO,0,0,0,0,0,0,0,0,0,0
BBLG,0,0,0,0,0,0,0,0,0,0
BBLGW,0,0,0,0,0,0,0,0,0,0
BBN,0,0,0,0,0,0,0,0,0,0
BBSI,0,0,0,0,0,0,0,0,0,0
BBU,0,0,0,1,0,0,0,0,0,0
BBUC,0,0,0,0,0,0,0,0,0,0
BBVA,0,0,1,1,1,0,1,1,0,1
BBW,0,0,0,0,0,0,0,0,0,0
BBWI,0,0,0,1,0,0,1,0,0,0
BBY,0,0,0,0,0,1,0,0,0,0
BC,0,0,1,1,0,0,0,0,0,0
BCAB,0,0,0,0,0,0,0,0,0,0
BCAL,0,0,0,0,0,0,0,0,0,0
BCAN,0,0,0,0,0,0,0,0,0,0
BCAT,0,0,0,0,0,0,0,0,0,0
BCAX,0,0,0,0,0,0,0,0,0,0
BCBP,0,0,0,0,0,0,0,0,0,0
BCC,0,0,0,0,1,0,0,0,0,0
BCDA,0,0,0,0,0,0,0,0,0,0
BCE,0,0,0,0,0,0,0,0,0,0
BCG,0,0,0,0,0,0,0,0,0,0
BCGWW,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0
BCLI,0,0,0,0,0,0,0,0,0,0
BCML,0,0,0,0,0,0,0,0,0,0
BCO,0,0,1,0,0,0,0,0,0,0
BCOV,0,0,0,0,0,0,0,0,0,0
BCOW,0,0,0,0,0,0,0,0,0,0
BCPC,0,0,0,0,0,0,0,0,0,0
BCRX,0,0,0,0,0,0,0,0,0,0
BCS,0,0,0,0,0,0,0,0,0,1
BCSF,0,0,0,0,0,0,0,0,1,0
BCTX,0,0,0,0,0,0,0,0,0,0
BCTXW,0,0,0,0,0,0,0,0,0,0
BCV,0,0,0,0,0,0,0,0,0,0
BCV^A,0,0,0,0,0,0,0,0,0,0
BCX,0,0,0,0,0,0,0,0,0,0
BCYC,0,0,0,0,0,0,0,0,0,0
BC^A,0,0,0,0,0,0,0,0,0,0
BC^B,0,0,0,0,0,0,0,0,0,0
BC^C,0,0,0,0,0,0,0,0,0,0
BDC,0,0,1,0,0,0,0,0,0,0
BDJ,0,0,0,0,0,0,0,0,0,0
BDL,0,0,0,0,0,0,0,0,0,0
BDMD,0,0,0,0,0,0,0,0,0,0
BDMDW,0,0,0,0,0,0,0,0,0,0
BDN,0,0,0,0,0,0,0,0,0,0
BDRX,0,0,0,0,0,0,0,0,0,0
BDSX,0,0,0,0,0,0,0,0,0,0
BDTX,0,0,0,0,0,0,0,0,0,0
BDX,0,0,0,0,0,0,0,0,0,0
BE,0,0,0,0,1,0,0,0,0,0
BEAGU,0,0,0,0,0,0,0,0,0,0
BEAM,0,0,0,0,0,0,0,0,0,0
BEAT,0,0,1,0,0,0,0,0,0,0
BEATW,0,0,0,0,0,0,0,0,0,0
BECN,0,0,0,0,0,0,0,0,0,0
BEDU,0,0,0,0,0,0,0,0,0,0
BEEM,0,0,0,0,0,0,0,0,0,0
BEEP,0,0,0,0,0,0,0,0,0,0
BEKE,0,0,0,0,0,0,0,0,0,0
BELFA,0,0,0,0,0,0,0,0,0,0
BELFB,0,0,0,0,0,0,0,0,0,0
BEN,0,0,0,0,0,0,0,0,0,0
BENF,0,0,0,0,0,0,0,0,0,0
BENFW,0,0,0,0,0,0,0,0,0,0
BEP,0,0,0,0,0,0,0,0,0,0
BEPC,0,0,0,0,0,0,0,0,0,0
BEPH,0,0,0,0,0,0,0,0,0,0
BEPI,0,0,0,0,0,0,0,0,0,0
BEPJ,0,0,0,0,0,0,0,0,0,0
BEP^A,0,0,0,0,0,0,0,0,0,0
BERY,0,0,0,0,0,0,0,0,0,0
BEST,0,0,0,0,0,0,0,0,0,0
BETR,0,0,0,0,0,0,0,0,0,0
BETRW,0,0,0,0,0,0,0,0,0,0
BF/A,0,0,0,0,0,0,0,0,0,0
BF/B,0,0,0,0,0,0,0,0,0,0
BFAC,0,0,0,0,0,0,0,0,0,0
BFAM,0,0,0,0,0,0,0,0,0,0
BFC,0,0,0,0,0,0,0,0,0,0
BFH,0,0,1,0,1,0,0,0,0,0
BFIN,0,0,0,0,0,0,0,0,0,0
BFK,0,0,0,0,0,0,0,0,0,0
BFLY,0,0,0,0,0,0,0,0,0,0
BFRG,0,0,0,0,0,0,0,0,0,0
BFRGW,0,0,0,0,0,0,0,0,0,0
BFRI,0,0,0,0,0,0,0,0,0,0
BFRIW,0,0,0,0,0,0,0,0,0,0
BFS,0,0,0,0,0,0,0,0,0,0
BFST,0,0,0,0,0,0,0,0,0,0
BFS^D,0,0,0,0,0,0,0,0,0,0
BFS^E,0,0,0,0,0,0,0,0,0,0
BFZ,0,0,0,0,0,0,0,0,0,0
BG,0,0,0,0,0,0,0,0,0,0
BGB,0,0,0,0,0,0,0,0,0,0
BGC,0,0,1,1,0,0,0,0,0,0
BGFV,0,0,0,0,0,0,0,0,0,0
BGH,0,0,0,0,0,0,0,0,0,0
BGI,0,0,0,0,0,0,0,0,0,0
BGLC,0,0,0,0,0,0,0,0,0,0
BGM,0,0,0,0,0,0,0,0,0,0
BGNE,0,0,0,0,0,0,0,0,0,0
BGR,0,0,0,0,0,0,0,0,0,0
BGS,0,0,0,0,0,0,0,0,0,0
BGSF,0,0,0,0,0,0,0,0,0,0
BGT,0,0,0,0,0,0,0,0,0,0
BGX,0,0,0,0,0,0,0,0,0,0
BGY,0,0,0,0,0,0,0,0,0,0
BH,0,0,0,0,0,0,0,0,0,0
BHAT,0,0,0,0,0,0,0,0,0,0
BHB,0,0,0,0,0,0,0,0,0,0
BHC,0,0,0,0,0,1,0,0,0,0
BHE,0,0,0,0,0,0,0,0,0,0
BHF,0,0,0,1,0,0,0,0,0,0
BHFAL,0,0,0,0,0,0,0,0,0,0
BHFAM,0,0,0,1,0,0,0,0,0,0
BHFAN,0,0,0,1,0,0,0,0,0,0
BHFAO,0,0,0,1,0,0,0,0,0,0
BHFAP,0,0,0,1,0,0,0,0,0,0
BHIL,0,0,0,0,0,0,0,0,0,0
BHK,0,0,0,0,0,0,0,0,0,0
BHLB,0,0,0,0,0,0,0,0,0,1
BHM,0,0,0,0,0,0,0,0,0,0
BHP,0,0,0,0,0,1,0,0,1,0
BHR,0,0,1,0,0,0,0,0,0,0
BHRB,0,0,0,0,0,0,0,0,0,0
BHR^B,0,0,0,0,0,0,0,0,0,0
BHR^D,0,0,0,0,0,0,0,0,0,0
BHST,0,0,0,0,0,0,0,0,0,0
BHV,0,0,0,0,0,0,0,0,0,0
BHVN,0,0,0,0,0,0,0,0,0,0
BIAF,0,0,0,0,0,0,0,0,0,0
BIDU,0,0,0,0,0,0,0,0,0,0
BIGC,0,0,0,0,0,0,0,0,0,0
BIGZ,0,0,0,0,0,0,0,0,0,0
BIIB,0,0,0,0,1,0,0,0,1,0
BILI,0,0,0,0,0,0,0,0,0,0
BILL,0,0,0,0,0,0,0,0,0,0
BIO,0,0,0,0,0,0,0,0,0,0
BIO/B,0,0,0,0,0,0,0,0,0,0
BIOA,0,0,0,0,0,0,0,0,0,0
BIOR,0,0,0,0,0,0,0,0,0,0
BIOX,0,0,0,0,0,0,0,0,0,0
BIP,0,0,1,0,0,0,0,0,0,0
BIPC,0,0,0,0,0,0,0,0,0,0
BIPH,0,0,0,0,0,0,0,0,0,0
BIPI,0,0,0,0,0,0,0,0,0,0
BIPJ,0,0,0,0,0,0,0,0,0,0
BIP^A,0,0,0,0,0,0,0,0,0,0
BIP^B,0,0,0,0,0,0,0,0,0,0
BIRD,0,0,0,0,0,0,0,0,0,0
BIRK,0,0,0,0,0,0,0,0,0,0
BIT,0,0,0,0,0,0,0,0,0,0
BITF,0,0,0,0,0,0,0,0,0,0
BIVI,0,0,0,0,0,0,0,0,0,0
BJ,0,0,0,0,0,0,0,0,0,0
BJDX,0,0,0,0,0,0,0,0,0,0
BJRI,0,0,0,0,0,0,0,0,0,0
BK,0,0,0,0,0,0,0,0,0,0
BKD,0,0,0,1,0,0,0,0,0,0
BKDT,0,0,0,1,0,0,0,0,0,0
BKE,0,0,0,0,0,0,0,0,0,0
BKH,0,0,0,0,0,0,0,0,0,0
BKHA,0,0,0,0,0,0,0,0,0,0
BKHAR,0,0,0,0,0,0,0,0,0,0
BKKT,0,0,0,0,0,0,0,0,0,0
BKN,0,0,0,0,0,0,0,0,0,0
BKNG,0,0,0,0,0,0,0,0,0,0
BKR,0,0,1,1,1,0,0,0,1,0
BKSY,0,0,0,0,0,0,0,0,0,0
BKT,0,0,0,0,0,0,0,0,0,0
BKTI,0,0,0,0,0,0,0,0,0,0
BKU,0,0,0,0,0,0,0,0,0,0
BKV,0,0,0,0,0,0,0,0,0,0
BKYI,0,0,0,0,0,0,0,0,0,0
BL,0,0,0,0,0,0,0,0,0,0
BLAC,0,0,0,0,0,0,0,0,0,0
BLACW,0,0,0,0,0,0,0,0,0,0
BLBD,0,0,0,0,0,0,0,0,0,0
BLBX,0,0,0,0,0,0,0,0,0,0
BLCO,0,0,0,0,0,0,0,0,0,0
BLD,0,0,0,0,0,0,0,0,0,0
BLDE,0,0,0,0,0,0,0,0,0,0
BLDEW,0,0,0,0,0,0,0,0,0,0
BLDP,0,0,0,1,0,0,0,0,0,0
BLDR,0,0,0,0,0,0,0,0,0,0
BLE,0,0,0,0,0,0,0,0,0,0
BLFS,0,0,0,0,0,0,0,1,0,0
BLFY,0,0,0,0,0,0,0,0,0,0
BLIN,0,0,0,0,0,0,0,0,0,0
BLK,0,0,0,1,1,0,0,0,1,0
BLKB,0,0,0,0,0,0,0,0,0,0
BLMN,0,0,0,0,0,0,0,0,0,0
BLMZ,0,0,0,0,0,0,0,0,0,0
BLND,0,0,0,0,0,0,0,0,0,0
BLNK,0,0,0,0,0,0,0,0,0,0
BLRX,0,0,1,0,0,0,0,0,0,0
BLTE,0,0,0,0,0,0,0,0,0,0
BLUE,0,0,0,0,0,0,0,1,0,0
BLW,0,0,0,0,0,0,0,0,0,0
BLX,0,0,0,0,0,0,0,0,0,0
BLZE,0,0,0,0,0,0,0,0,0,0
BMA,0,0,0,0,0,0,0,0,0,0
BMBL,0,0,0,0,0,0,0,0,0,0
BME,0,0,0,0,0,0,0,0,0,0
BMEA,0,0,0,0,0,0,0,0,0,0
BMEZ,0,0,0,0,0,0,0,0,0,0
BMI,0,0,0,0,0,0,0,0,0,0
BML^G,0,0,0,0,0,0,0,0,0,0
BML^H,0,0,0,0,0,0,0,0,0,0
BML^J,0,0,0,0,0,0,0,0,0,0
BML^L,0,0,0,0,0,0,0,0,0,0
BMN,0,0,0,0,0,0,0,0,0,0
BMO,0,0,0,0,0,0,0,0,0,0
BMR,0,0,0,0,0,0,0,0,0,0
BMRA,0,0,0,0,0,0,0,0,0,0
BMRC,0,0,0,0,0,0,0,0,0,0
BMRN,0,0,1,0,1,0,0,0,0,0
BMTX,0,0,0,0,0,0,0,0,0,0
BMY,0,1,1,0,1,0,1,0,0,0
BN,0,0,0,0,0,0,0,1,0,0
BNAI,0,0,0,0,0,0,0,0,0,0
BNAIW,0,0,0,0,0,0,0,0,0,0
BNED,0,0,0,0,0,0,0,0,0,0
BNGO,0,0,0,0,0,0,0,0,0,0
BNH,0,0,0,0,0,0,0,0,0,0
BNIX,0,0,0,0,0,0,0,0,0,0
BNJ,0,0,0,0,0,0,0,0,0,0
BNL,0,0,0,0,0,0,0,0,0,0
BNOX,0,0,0,0,0,0,0,0,0,0
BNR,0,0,0,0,0,0,0,0,0,0
BNRG,0,0,0,0,0,0,0,0,0,0
BNS,0,0,1,1,0,0,0,0,0,0
BNT,0,0,0,0,0,0,0,0,0,0
BNTC,0,0,0,0,0,0,0,0,0,0
BNTX,0,0,0,0,1,0,0,0,0,0
BNY,0,0,0,0,0,0,0,0,0,0
BNZI,0,0,0,0,0,0,0,0,0,0
BNZIW,0,0,0,0,0,0,0,0,0,0
BOC,0,0,0,0,0,0,0,0,0,0
BODI,0,0,0,0,0,0,0,0,0,0
BOE,0,0,0,0,0,0,0,0,0,0
BOF,0,0,0,0,0,0,0,0,0,0
BOH,0,0,0,0,0,0,0,0,0,0
BOH^A,0,0,0,0,0,0,0,0,0,0
BOH^B,0,0,0,0,0,0,0,0,0,0
BOKF,0,0,0,0,0,0,0,0,0,0
BOLD,0,0,0,0,0,0,0,0,0,0
BOLT,0,0,0,0,0,0,0,0,0,0
BON,0,0,0,0,0,0,0,0,0,0
BOOM,0,0,0,0,0,0,0,0,0,0
BOOT,0,0,0,0,0,0,0,0,0,0
BORR,0,0,0,0,0,0,0,0,0,0
BOSC,0,0,0,0,0,0,0,0,0,0
BOTJ,0,0,0,0,0,0,0,0,0,0
BOW,0,0,0,0,0,0,0,0,0,0
BOWL,0,0,0,0,0,0,0,0,0,0
BOWN,0,0,0,0,0,0,0,0,0,0
BOWNR,0,0,0,0,0,0,0,0,0,0
BOWNU,0,0,0,0,0,0,0,0,0,0
BOX,0,0,0,0,0,0,0,0,0,0
BOXL,0,0,0,0,0,0,0,0,0,0
BP,0,1,1,0,1,1,1,1,1,1
BPMC,0,0,0,0,0,0,0,0,0,0
BPOP,0,0,0,0,0,0,0,0,0,0
BPOPM,0,0,0,0,0,0,0,0,0,0
BPRN,0,0,0,0,0,0,0,0,0,0
BPT,0,0,0,0,0,0,0,0,0,0
BPTH,0,0,0,0,0,0,0,0,0,0
BPYPM,0,0,0,0,0,0,0,0,0,0
BPYPN,0,0,0,0,0,0,0,0,0,0
BPYPO,0,0,0,0,0,0,0,0,0,0
BPYPP,0,0,0,0,0,0,0,0,0,0
BQ,0,0,0,0,0,0,0,0,0,0
BR,0,0,0,0,0,0,0,0,0,0
BRACR,0,0,0,0,0,0,0,0,0,0
BRAG,0,0,0,0,0,0,0,0,0,0
BRBR,0,0,0,0,0,0,0,0,0,0
BRBS,0,0,0,0,0,0,0,0,0,0
BRC,0,0,0,0,0,0,0,0,0,0
BRCC,0,0,0,0,0,0,0,0,0,0
BRDG,0,0,0,0,0,0,0,0,0,0
BREA,0,0,0,0,0,0,0,0,0,0
BRFH,0,0,0,0,0,0,0,0,0,0
BRFS,0,0,0,0,0,0,0,0,0,0
BRIA,0,0,0,0,0,0,0,0,0,0
BRID,0,0,0,0,0,0,0,0,0,0
BRK/A,0,0,0,0,0,0,0,0,0,0
BRK/B,0,0,0,0,0,0,0,0,0,0
BRKH,0,0,0,0,0,0,0,0,0,0
BRKHU,0,0,0,0,0,0,0,0,0,0
BRKHW,0,0,0,0,0,0,0,0,0,0
BRKL,0,0,0,0,0,0,0,0,0,0
BRKR,0,0,0,1,0,0,0,0,0,0
BRLS,0,0,0,0,0,0,0,0,0,0
BRLSW,0,0,0,0,0,0,0,0,0,0
BRLT,0,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,0,0,0
BRNS,0,0,0,0,0,0,0,0,0,0
BRO,0,0,0,0,0,0,0,0,0,0
BROG,0,0,0,0,0,0,0,0,0,0
BROGW,0,0,0,0,0,0,0,0,0,0
BROS,0,0,0,0,0,0,0,0,0,0
BRSP,0,0,0,0,0,0,0,0,0,0
BRT,0,0,0,1,0,0,1,0,0,0
BRTX,0,0,0,0,0,0,0,0,0,0
BRW,0,0,0,0,0,0,0,0,0,0
BRX,0,0,1,0,0,0,0,0,0,0
BRY,0,0,0,0,0,0,0,0,0,0
BRZE,0,0,0,0,0,0,0,0,0,0
BSAC,0,0,0,0,0,0,0,0,0,0
BSBK,0,0,0,0,0,0,0,0,0,0
BSBR,0,0,0,0,0,0,0,0,0,0
BSET,0,0,0,0,0,0,0,0,0,0
BSFC,0,0,0,0,0,0,0,0,0,0
BSGM,0,0,0,0,0,0,0,0,0,0
BSIG,0,0,0,0,0,0,0,0,0,0
BSII,0,0,0,0,0,0,0,0,0,0
BSIIW,0,0,0,0,0,0,0,0,0,0
BSL,0,0,0,0,0,0,0,0,0,0
BSLK,0,0,0,0,0,0,0,0,0,0
BSM,0,0,0,0,0,0,0,0,0,0
BSRR,0,0,0,0,0,0,0,0,0,0
BST,0,0,0,0,0,0,0,0,0,0
BSTZ,0,0,0,0,0,0,0,0,0,0
BSVN,0,0,0,0,0,0,0,0,0,0
BSX,0,0,1,1,1,0,0,0,0,0
BSY,0,0,0,0,0,0,0,0,0,0
BTA,0,0,0,0,0,0,0,0,0,0
BTAI,0,0,0,0,0,0,0,0,0,0
BTBD,0,0,0,0,0,0,0,0,0,0
BTBDW,0,0,0,0,0,0,0,0,0,0
BTBT,0,0,0,0,0,0,0,0,0,0
BTCM,0,0,0,0,0,0,1,0,0,0
BTCS,0,0,0,0,0,0,0,0,0,0
BTCT,0,0,0,0,0,1,0,0,0,0
BTCTW,0,0,0,0,0,1,0,0,0,0
BTDR,0,0,0,0,0,0,0,0,0,0
BTE,0,0,0,0,0,0,0,0,0,0
BTG,0,0,0,0,0,0,0,0,0,1
BTI,0,0,0,0,0,0,0,0,1,1
BTM,0,0,0,0,0,0,0,0,0,0
BTMD,0,0,0,0,0,0,0,0,0,0
BTMWW,0,0,0,0,0,0,0,0,0,0
BTO,0,0,0,0,0,0,0,0,0,0
BTOC,0,0,0,0,0,0,0,0,0,0
BTOG,0,0,0,0,0,0,0,0,0,0
BTSG,0,0,0,0,0,0,0,0,0,0
BTSGU,0,0,0,0,0,0,0,0,0,0
BTT,0,0,0,0,0,0,0,0,0,0
BTTR,0,0,0,0,0,0,0,0,0,0
BTU,0,0,0,0,0,0,0,0,1,1
BTZ,0,0,0,0,0,0,0,0,0,0
BUD,0,0,1,0,0,0,0,1,0,1
BUI,0,0,0,0,0,0,0,0,0,0
BUJA,0,0,0,0,0,0,0,0,0,0
BUJAR,0,0,0,0,0,0,0,0,0,0
BUR,0,0,0,0,0,0,0,0,0,0
BURL,0,0,0,0,0,1,0,0,0,0
BURU,0,0,0,0,0,0,0,0,0,0
BUSE,0,0,0,0,0,0,0,0,0,0
BV,0,0,0,0,0,0,0,0,0,0
BVFL,0,0,0,0,0,0,0,0,0,0
BVN,0,0,0,0,0,0,0,1,0,0
BVS,0,0,0,0,0,0,0,0,0,0
BW,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,1,0,0,0,0,1,1
BWAY,0,0,0,0,0,0,0,0,0,0
BWB,0,0,0,0,0,0,0,0,0,0
BWBBP,0,0,0,0,0,0,0,0,0,0
BWEN,0,0,0,0,0,0,0,0,0,0
BWFG,0,0,0,0,0,0,0,0,0,0
BWG,0,0,0,0,0,0,0,0,0,0
BWIN,0,0,0,0,0,0,0,0,0,0
BWLP,0,0,0,0,0,0,0,0,0,0
BWMN,0,0,0,0,0,0,0,0,0,0
BWMX,0,0,0,0,0,0,0,0,0,0
BWNB,0,0,0,0,0,0,0,0,0,0
BWSN,0,0,0,0,0,0,0,0,0,0
BWXT,0,0,0,0,0,0,0,0,0,0
BW^A,0,0,0,0,0,0,0,0,0,0
BX,0,0,1,1,1,0,1,0,1,0
BXC,0,0,0,0,0,0,0,0,0,0
BXMT,0,0,0,0,0,0,0,0,0,0
BXMX,0,0,0,0,0,0,0,0,0,0
BXP,0,0,0,0,0,0,0,0,0,0
BXSL,0,0,0,0,0,0,0,0,0,0
BY,0,0,0,0,0,0,0,0,0,0
BYD,0,0,0,0,0,0,0,0,0,0
BYFC,0,0,0,0,0,0,0,0,0,0
BYM,0,0,0,0,0,0,0,0,0,0
BYND,0,0,0,0,1,0,0,0,0,0
BYNO,0,0,0,0,0,0,0,0,0,0
BYON,0,0,0,0,0,0,0,0,0,0
BYRN,0,0,0,0,0,0,0,0,0,0
BYSI,0,0,0,0,0,0,0,0,0,0
BZ,0,0,0,0,0,0,0,0,0,0
BZFD,0,0,0,0,0,0,0,0,0,1
BZFDW,0,0,0,0,0,0,0,0,0,1
BZH,0,0,0,0,0,0,0,0,0,0
BZUN,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,1,0,1,0,0,1
CAAP,0,0,0,0,0,0,0,0,0,0
CAAS,0,0,0,0,0,0,0,0,0,0
CABA,0,0,0,0,0,0,0,0,0,0
CABO,0,0,0,0,0,1,0,0,0,0
CAC,0,0,0,0,0,0,0,0,0,0
CACC,0,0,0,0,0,0,0,0,0,0
CACI,0,0,0,0,0,0,0,0,0,0
CADE,0,0,0,0,0,0,0,0,0,0
CADE^A,0,0,0,0,0,0,0,0,0,0
CADL,0,0,0,0,0,0,0,0,0,0
CAE,0,0,0,1,0,0,0,0,0,0
CAF,0,0,0,0,0,0,0,0,0,0
CAG,0,0,1,0,0,0,0,0,0,0
